values,condition,replicate
13.97464632,B,3
4.525516693,B,3
15.05564721,B,3
12.51662375,B,3
14.64056079,B,3
13.9325228,B,3
13.08025827,B,3
11.37629629,B,3
8.152037659,B,3
14.43236611,B,3
9.094315423,B,3
11.07806749,B,3
12.79612812,B,3
9.889086442,B,3
15.4059029,B,3
10.90068105,B,3
8.727752461,B,3
8.270018465,B,3
13.56500495,B,3
12.08244469,B,3
8.568802862,B,3
12.15847737,B,3
11.10204354,B,3
14.6199489,B,3
10.65024219,B,3
13.09045606,B,3
11.3306944,B,3
8.422537638,B,3
10.72907291,B,3
8.289271813,B,3
11.50647408,B,3
7.567610952,B,3
10.26419021,B,3
16.00234059,B,3
8.681992847,B,3
9.460231246,B,3
12.59116688,B,4
12.6762394,B,4
11.53693088,B,4
10.07494684,B,4
10.07679267,B,4
9.232952868,B,4
10.6444103,B,4
13.56767746,B,4
10.81267523,B,4
13.01960212,B,4
11.58722853,B,4
10.74518391,B,4
10.21886971,B,4
11.13348164,B,4
11.12710118,B,4
14.65762399,B,4
14.84195666,B,4
10.5965812,B,4
10.15464539,B,4
13.2685579,B,4
10.81331965,B,4
11.43943814,B,4
13.98764709,B,4
10.74379122,B,4
9.510175672,B,4
5.529402093,B,4
10.62668984,B,4
9.41327421,B,4
10.70299924,B,4
11.97215353,B,4
8.116048228,B,4
10.05046852,B,4
12.86436774,B,4
14.4207733,B,4
15.36008178,B,4
11.44722029,B,4
4.139732196,B,5
10.02135433,B,5
4.923879071,B,5
7.899436212,B,5
1.535616396,B,5
8.004993351,B,5
5.00143546,B,5
9.335934129,B,5
8.804409122,B,5
3.83131328,B,5
4.281565503,B,5
8.596498364,B,5
5.874568157,B,5
11.38101908,B,5
7.698293394,B,5
12.10719029,B,5
9.735597768,B,5
11.3495347,B,5
10.28947656,B,5
10.75096865,B,5
9.571065992,B,5
6.519187011,B,5
4.860269359,B,5
12.55381498,B,5
10.06257847,B,5
6.169746683,B,5
10.27549739,B,5
9.991028941,B,5
6.114983817,B,5
8.061825709,B,5
9.91838865,B,5
4.887100904,B,5
12.02237737,B,5
8.118898586,B,5
6.260217816,B,5
8.37182707,B,5
5.939288162,B,6
6.731504378,B,6
7.72540589,B,6
6.267581129,B,6
6.896105575,B,6
9.744960358,B,6
8.477906216,B,6
9.524713823,B,6
7.493874395,B,6
6.667862792,B,6
10.43186604,B,6
8.470226534,B,6
8.689875374,B,6
5.88584485,B,6
8.266709643,B,6
6.541618986,B,6
9.489189522,B,6
5.676775052,B,6
6.033873406,B,6
5.104878839,B,6
7.280130237,B,6
6.426674571,B,6
8.391667189,B,6
10.34208088,B,6
8.981094886,B,6
6.704303761,B,6
8.740017706,B,6
8.167274111,B,6
7.939757735,B,6
11.53356231,B,6
6.436531224,B,6
10.26768316,B,6
8.14468434,B,6
9.065379725,B,6
7.750991394,B,6
7.879573112,B,6
7.764685947,C,1
8.533439515,C,1
5.970846508,C,1
9.771157942,C,1
8.087816932,C,1
8.867614427,C,1
7.244208248,C,1
6.372567928,C,1
6.618881347,C,1
7.77063071,C,1
4.971451204,C,1
9.267083881,C,1
10.00657565,C,1
8.382480633,C,1
6.812109447,C,1
8.712887517,C,1
8.544018594,C,1
4.601187652,C,1
6.510183784,C,1
7.977664401,C,1
7.256035062,C,1
8.438850971,C,1
9.680815593,C,1
5.761207266,C,1
10.59203683,C,1
9.534767405,C,1
8.127142298,C,1
6.931738073,C,1
7.575969867,C,1
9.738492385,C,1
9.229712921,C,1
7.397016099,C,1
9.59854864,C,1
10.77450618,C,1
7.291959115,C,1
8.934334783,C,1
8.198258073,C,1
9.518504633,C,1
7.178269245,C,1
5.601545448,C,1
8.834557078,C,1
7.041827922,C,1
10.63776174,C,1
8.520305718,C,1
9.203867006,C,1
7.708816945,C,1
6.685345321,C,1
10.55263661,C,1
10.60204409,C,1
8.021322959,C,1
9.705557433,C,1
10.99421705,C,1
9.127338953,C,1
9.059291479,C,1
12.25408386,C,1
5.856877073,C,1
8.137905905,C,1
7.19329748,C,1
8.00401075,C,1
9.379414232,C,1
9.645069967,C,1
12.29643723,C,1
11.45388575,C,1
8.327471718,C,1
9.402619244,C,1
11.13325854,C,1
10.87387505,C,1
4.50916031,C,1
1.386537546,C,1
10.57219673,C,1
7.999240692,C,1
6.477945644,C,1
7.367279519,C,1
10.57978914,C,1
8.192779011,C,1
10.78554379,C,1
8.060002626,C,1
9.069390887,C,1
8.963401707,C,1
8.366862799,C,1
8.877204894,C,1
8.339842248,C,1
10.43247208,C,1
7.833804964,C,1
8.036549337,C,1
9.257213188,C,1
6.407642971,C,1
7.749610485,C,1
10.13323205,C,1
10.1385754,C,1
9.816960094,C,1
9.722742073,C,1
10.0705291,C,1
8.252631398,C,1
10.9972825,C,1
10.05741588,C,1
6.064904898,C,1
8.696875124,C,1
7.099896657,C,1
9.089392159,C,1
8.378508889,C,1
7.901434895,C,1
8.889927239,C,1
6.386988231,C,1
8.750046494,C,1
8.140794922,C,1
6.562330167,C,1
10.4523244,C,1
11.30143667,C,1
5.388295388,C,1
12.00066937,C,1
10.55951234,C,1
10.19554919,C,1
6.738878431,C,1
8.903745873,C,1
8.663606751,C,1
9.146524896,C,1
8.149647381,C,1
8.994080868,C,1
8.860435523,C,1
9.837362665,C,1
8.061326672,C,1
9.71982694,C,1
10.75412401,C,1
9.777406171,C,1
11.28717701,C,1
8.847883402,C,1
10.28813906,C,1
8.445957803,C,1
6.66577342,C,1
7.554999003,C,1
8.758916461,C,1
9.849341884,C,1
8.806752517,C,1
7.811440564,C,1
7.401193411,C,1
5.732674165,C,1
10.02357442,C,1
9.635695367,C,1
6.182171791,C,1
6.288057943,C,1
8.122819644,C,1
9.23116091,C,1
6.97018057,C,1
10.04541543,C,1
10.1168771,C,1
10.95874585,C,1
11.14875712,C,1
8.76603916,C,1
7.624010136,C,1
8.345243857,C,1
7.700455087,C,1
5.420175639,C,1
13.47812256,C,1
10.42527436,C,1
9.892493399,C,1
10.7296466,C,1
11.01064889,C,1
11.7405347,C,1
9.962299789,C,1
10.20691408,C,1
11.25789013,C,1
9.887896535,C,1
7.769790222,C,1
6.784178567,C,1
7.183554968,C,1
10.95773123,C,1
7.289039075,C,1
9.924667574,C,1
9.917302584,C,1
10.09767467,C,1
7.419619242,C,1
9.575427137,C,1
8.842955182,C,1
7.660364462,C,1
8.664984783,C,1
9.54004447,C,1
10.97254628,C,1
8.065087987,C,1
10.77291253,C,1
8.347207409,C,1
7.767856118,C,1
7.630178066,C,1
9.06888493,C,1
9.419106192,C,1
7.914749429,C,1
7.761062195,C,1
7.987356802,C,1
10.23721838,C,1
6.835875465,C,1
7.219894061,C,1
9.552310077,C,1
4.790651048,C,1
8.784240694,C,1
10.0370707,C,1
9.717411364,C,1
9.118229885,C,1
9.882806028,C,1
9.723503399,C,1
9.170915012,C,1
10.89879003,C,1
9.995642789,C,1
7.607796791,C,1
8.154031779,C,1
8.372677896,C,1
7.472096419,C,1
11.78613003,C,1
9.819761582,C,1
7.174660931,C,1
7.277594947,C,1
8.335191746,C,1
7.569937786,C,1
7.938165224,C,1
8.682610561,C,1
8.840338756,C,1
9.34217422,C,1
12.80988186,C,2
10.16745804,C,2
13.49998299,C,2
12.61951854,C,2
11.25432315,C,2
12.41123662,C,2
10.02081218,C,2
9.896784965,C,2
12.37029203,C,2
7.835444135,C,2
11.40624797,C,2
10.51200941,C,2
12.31019273,C,2
10.06600131,C,2
11.2165816,C,2
15.0663767,C,2
11.1496483,C,2
10.07063587,C,2
11.30436748,C,2
9.165575078,C,2
13.26672237,C,2
11.8324146,C,2
12.14776448,C,2
10.65794098,C,2
10.08459654,C,2
10.8646789,C,2
8.708174943,C,2
13.36478644,C,2
13.19276168,C,2
12.67332177,C,2
9.973410808,C,2
13.65781938,C,2
11.03150852,C,2
14.26162565,C,2
9.114380177,C,2
12.4387183,C,2
11.04012297,C,2
11.68741728,C,2
12.91792882,C,2
13.65224026,C,2
9.702756347,C,2
11.65110823,C,2
6.906475379,C,2
9.964193648,C,2
14.29886057,C,2
7.204190065,C,2
12.41348301,C,2
9.568002508,C,2
11.0144612,C,2
8.5481436,C,2
11.67758334,C,2
9.808863608,C,2
12.68330552,C,2
12.15605905,C,2
14.93678569,C,2
12.04925641,C,2
10.33127785,C,2
10.43424581,C,2
11.96739544,C,2
10.91309536,C,2
7.8294202,C,2
7.814981932,C,2
11.96653474,C,2
13.28272866,C,2
13.82119763,C,2
7.997948292,C,2
9.904492939,C,2
11.09417159,C,2
9.505964335,C,2
10.95783385,C,2
10.1214162,C,2
8.418303759,C,2
12.86158045,C,2
14.37312832,C,2
12.72841389,C,2
11.90200453,C,2
13.6098309,C,2
13.5297709,C,2
12.01712482,C,2
15.62011512,C,2
11.32618479,C,2
9.463810428,C,2
12.36533934,C,2
10.90397135,C,2
9.625796028,C,2
8.14006116,C,2
8.826478265,C,2
9.827826786,C,2
13.35044346,C,2
10.44812582,C,2
9.104436746,C,2
8.219630641,C,2
8.979837873,C,2
9.497873388,C,2
9.363176638,C,2
11.95379457,C,2
9.753591833,C,2
14.98518116,C,2
9.927414894,C,2
12.46739665,C,2
10.73463763,C,2
11.89426342,C,2
8.255604114,C,2
9.19712925,C,2
14.97826502,C,2
12.6902882,C,2
13.6995748,C,2
11.56502687,C,2
9.041456078,C,2
9.423135959,C,2
11.89086127,C,2
10.57761609,C,2
9.110121143,C,2
11.50083544,C,2
12.71831656,C,2
10.16583641,C,2
10.58356734,C,2
13.84692269,C,2
8.645046256,C,2
10.47948373,C,2
10.86505451,C,2
10.31399251,C,2
8.506645518,C,2
13.19255705,C,2
11.23993557,C,2
14.6314909,C,2
10.89567126,C,2
11.22470176,C,2
9.761857408,C,2
11.53360909,C,2
11.14659874,C,2
8.450861637,C,2
11.7708536,C,2
10.61333944,C,2
11.79850611,C,2
10.27190427,C,2
13.1070926,C,2
10.73532148,C,2
13.52378342,C,2
9.008249233,C,2
9.934853283,C,2
13.23614556,C,2
10.64314268,C,2
10.41223741,C,2
9.934817747,C,2
7.102712081,C,2
8.264419103,C,2
13.45262583,C,2
11.69410677,C,2
10.4025475,C,2
11.81330082,C,2
11.16253636,C,2
9.978369009,C,2
7.445282825,C,2
11.75079023,C,2
14.7137091,C,2
9.808501804,C,2
12.28753903,C,2
12.28670993,C,2
12.92659678,C,2
8.496803183,C,2
11.82979386,C,2
8.306712124,C,2
11.93470395,C,2
10.30993873,C,2
8.896191605,C,2
12.33908567,C,2
13.43189869,C,2
11.12948098,C,2
10.27945812,C,2
15.16435165,C,2
9.543411819,C,2
8.662433363,C,2
12.74993382,C,2
11.88722718,C,2
12.03878302,C,2
13.32059246,C,2
13.72743395,C,2
12.54965296,C,2
7.587894913,C,2
14.76336956,C,2
11.32843043,C,2
9.131092834,C,2
12.8898111,C,2
10.39147409,C,2
11.94990497,C,2
9.195516482,C,2
12.98215421,C,2
11.58770298,C,2
14.71165108,C,2
14.48335077,C,2
12.46749451,C,2
9.857642831,C,2
11.09590595,C,2
12.36424714,C,2
13.84957178,C,2
4.537489539,C,2
6.5580622,C,2
12.29800426,C,2
13.78900067,C,2
8.139355309,C,2
10.07554763,C,2
5.879940184,C,2
10.74964674,C,2
5.061918526,C,2
12.08655952,C,2
8.205316861,C,2
13.32505536,C,2
10.38376538,C,2
9.75183745,C,2
13.48887622,C,2
11.66842859,C,2
10.28479968,C,2
14.36087568,C,2
7.364102694,C,2
10.65203761,C,2
13.97464632,C,3
4.525516693,C,3
15.05564721,C,3
12.51662375,C,3
14.64056079,C,3
13.9325228,C,3
13.08025827,C,3
11.37629629,C,3
8.152037659,C,3
14.43236611,C,3
9.094315423,C,3
11.07806749,C,3
12.79612812,C,3
9.889086442,C,3
15.4059029,C,3
10.90068105,C,3
8.727752461,C,3
8.270018465,C,3
13.56500495,C,3
12.08244469,C,3
8.568802862,C,3
12.15847737,C,3
11.10204354,C,3
14.6199489,C,3
10.65024219,C,3
13.09045606,C,3
11.3306944,C,3
8.422537638,C,3
10.72907291,C,3
8.289271813,C,3
11.50647408,C,3
7.567610952,C,3
10.26419021,C,3
16.00234059,C,3
8.681992847,C,3
9.460231246,C,3
9.759645459,C,3
10.21314337,C,3
11.94686626,C,3
7.786287628,C,3
10.84838601,C,3
15.28209099,C,3
9.41040165,C,3
12.88456043,C,3
9.382701708,C,3
7.997437056,C,3
13.21211553,C,3
11.08437994,C,3
11.67440835,C,3
11.11155226,C,3
7.911597922,C,3
12.32092683,C,3
11.54879559,C,3
10.82308248,C,3
9.129228696,C,3
14.23075843,C,3
8.678101607,C,3
12.71994231,C,3
11.1403298,C,3
13.21812268,C,3
14.79233473,C,3
9.533115433,C,3
12.93305219,C,3
12.00166935,C,3
12.96868863,C,3
10.6740023,C,3
12.06046954,C,3
12.29230846,C,3
7.347034307,C,3
11.41623625,C,3
12.80132514,C,3
9.500909634,C,3
11.30921525,C,3
11.10046318,C,3
8.956782272,C,3
13.53890507,C,3
10.48015076,C,3
12.09195768,C,3
10.21609573,C,3
11.45831545,C,3
8.885428142,C,3
12.27633188,C,3
12.59717595,C,3
8.440572047,C,3
9.403686227,C,3
12.27655185,C,3
8.894518387,C,3
6.957667499,C,3
12.84241942,C,3
7.566051646,C,3
9.886300035,C,3
9.700425565,C,3
10.24417254,C,3
7.486631564,C,3
6.066980982,C,3
12.53419746,C,3
8.574582399,C,3
11.04723155,C,3
11.79144747,C,3
8.474186617,C,3
9.250183122,C,3
8.302260055,C,3
11.72232745,C,3
7.92424,C,3
10.24215306,C,3
11.10915392,C,3
9.039452662,C,3
10.51056799,C,3
10.79504516,C,3
11.55144398,C,3
13.759204,C,3
11.03758228,C,3
8.504101409,C,3
10.31148243,C,3
12.21280704,C,3
11.43483858,C,3
11.47116649,C,3
10.45024181,C,3
8.382767999,C,3
8.375797906,C,3
8.390483797,C,3
10.28512663,C,3
11.82910944,C,3
9.752296368,C,3
11.43987081,C,3
13.38110558,C,3
10.34630683,C,3
10.75092115,C,3
11.58165048,C,3
9.635339198,C,3
16.100253,C,3
7.181104454,C,3
10.89623821,C,3
7.576224559,C,3
10.56531817,C,3
11.58073098,C,3
13.1428066,C,3
12.00013346,C,3
12.40053791,C,3
8.732351661,C,3
10.98370576,C,3
9.045634219,C,3
6.17097683,C,3
10.39547757,C,3
15.48772475,C,3
11.93803483,C,3
9.772525957,C,3
8.623087182,C,3
11.38162606,C,3
12.62019329,C,3
5.898722407,C,3
11.8441338,C,3
9.126495502,C,3
11.86983481,C,3
11.80652235,C,3
10.12628616,C,3
8.872524054,C,3
10.5149721,C,3
11.74311649,C,3
12.64103023,C,3
15.60566501,C,3
9.73353048,C,3
9.328561191,C,3
10.45076723,C,3
8.684452421,C,3
6.919572831,C,3
9.378879261,C,3
8.112541829,C,3
11.12883693,C,3
11.20186564,C,3
8.247375656,C,3
10.4468413,C,3
9.913806833,C,3
9.310344717,C,3
8.259465521,C,3
11.3546899,C,3
7.848039351,C,3
12.05427101,C,3
11.26567574,C,3
9.180539148,C,3
12.21702553,C,3
9.540408676,C,3
7.555660788,C,3
9.817954055,C,3
11.45882743,C,3
13.29329754,C,3
14.95207972,C,3
11.89075149,C,3
10.65404978,C,3
11.55074457,C,3
8.607992422,C,3
9.935883687,C,3
8.618819404,C,3
11.36093272,C,3
9.913886075,C,3
9.269429241,C,3
7.652183794,C,3
13.71435927,C,3
11.53891867,C,3
14.82857208,C,3
8.956104325,C,3
10.28080188,C,3
10.38567081,C,3
10.45308244,C,3
11.88424548,C,3
11.17774806,C,3
7.682095942,C,3
7.289995527,C,3
12.31008809,C,3
10.57331916,C,3
8.343008057,C,3
10.06755512,C,3
12.20664178,C,3
13.25221239,C,3
9.568871922,C,3
15.10214247,C,3
12.59116688,C,4
12.6762394,C,4
11.53693088,C,4
10.07494684,C,4
10.07679267,C,4
9.232952868,C,4
10.6444103,C,4
13.56767746,C,4
10.81267523,C,4
13.01960212,C,4
11.58722853,C,4
10.74518391,C,4
10.21886971,C,4
11.13348164,C,4
11.12710118,C,4
14.65762399,C,4
14.84195666,C,4
10.5965812,C,4
10.15464539,C,4
13.2685579,C,4
10.81331965,C,4
11.43943814,C,4
13.98764709,C,4
10.74379122,C,4
9.510175672,C,4
5.529402093,C,4
10.62668984,C,4
9.41327421,C,4
10.70299924,C,4
11.97215353,C,4
8.116048228,C,4
10.05046852,C,4
12.86436774,C,4
14.4207733,C,4
15.36008178,C,4
11.44722029,C,4
12.47045581,C,4
12.6471504,C,4
9.266944367,C,4
12.91153984,C,4
13.6498443,C,4
9.498566885,C,4
11.37793631,C,4
14.1880151,C,4
10.62585002,C,4
12.42011234,C,4
10.45219419,C,4
14.77199608,C,4
11.76420856,C,4
13.90471425,C,4
6.596913939,C,4
8.493602995,C,4
9.181161272,C,4
9.457740446,C,4
11.42963321,C,4
14.01697366,C,4
14.26231567,C,4
12.96879406,C,4
15.30591101,C,4
13.1275333,C,4
11.41948982,C,4
12.24184315,C,4
11.65446664,C,4
9.231941843,C,4
13.17206418,C,4
7.980717415,C,4
13.07007659,C,4
10.5593867,C,4
10.1275345,C,4
10.83059202,C,4
12.73220115,C,4
11.25891675,C,4
12.38456322,C,4
10.79556392,C,4
14.71275277,C,4
11.68713522,C,4
9.875460735,C,4
9.254465167,C,4
14.59762941,C,4
10.84306035,C,4
12.50442986,C,4
14.10743184,C,4
9.854052199,C,4
10.35528866,C,4
13.01382356,C,4
11.2910245,C,4
11.04926162,C,4
12.00133334,C,4
10.9797891,C,4
11.38542051,C,4
10.98589466,C,4
11.57185294,C,4
9.117774951,C,4
13.91070163,C,4
11.83790717,C,4
12.13734031,C,4
9.383742972,C,4
10.57115406,C,4
8.932916293,C,4
10.3434374,C,4
11.90109409,C,4
11.28084586,C,4
9.076027947,C,4
13.11237718,C,4
12.77157032,C,4
11.25074226,C,4
10.41888398,C,4
10.75967402,C,4
11.93255322,C,4
10.70868233,C,4
11.23226606,C,4
12.34603318,C,4
13.79639215,C,4
9.612180126,C,4
12.32081411,C,4
8.87232578,C,4
11.5886147,C,4
10.45185478,C,4
12.79625719,C,4
12.14080761,C,4
9.37179766,C,4
7.985540714,C,4
11.0209911,C,4
9.986215053,C,4
10.66733909,C,4
13.02997537,C,4
11.15022851,C,4
14.51092877,C,4
11.31094551,C,4
11.1552626,C,4
9.540551863,C,4
10.12323838,C,4
12.59901724,C,4
12.90713348,C,4
12.44165435,C,4
11.92679287,C,4
11.24762425,C,4
11.49809979,C,4
12.191282,C,4
12.43150394,C,4
10.05099085,C,4
8.533515067,C,4
12.23220748,C,4
11.68572331,C,4
8.961232041,C,4
10.49891332,C,4
6.154692967,C,4
12.19412658,C,4
11.76578628,C,4
9.806401974,C,4
10.82274779,C,4
5.4204916,C,4
12.70730342,C,4
14.95570275,C,4
10.44315308,C,4
12.60559354,C,4
7.223533242,C,4
10.30484168,C,4
11.94307012,C,4
11.16264892,C,4
9.975142734,C,4
10.86310831,C,4
11.80135928,C,4
10.83408664,C,4
8.339470087,C,4
11.82325697,C,4
13.8034591,C,4
11.98582947,C,4
9.154282324,C,4
12.84940196,C,4
16.02829309,C,4
11.04871361,C,4
12.09482842,C,4
13.19931187,C,4
11.33566469,C,4
10.9141747,C,4
11.92774097,C,4
13.65181267,C,4
10.24327858,C,4
10.58713241,C,4
10.92776695,C,4
8.408653788,C,4
11.26793009,C,4
12.25701532,C,4
13.37168736,C,4
10.41535689,C,4
11.89438173,C,4
13.7056348,C,4
9.720372532,C,4
9.523346819,C,4
13.55838883,C,4
9.728449214,C,4
14.99978591,C,4
9.035260827,C,4
13.01403135,C,4
11.79299952,C,4
10.88012138,C,4
15.86670042,C,4
8.557071478,C,4
10.51392675,C,4
11.2860965,C,4
10.03906023,C,4
9.902200506,C,4
10.43575084,C,4
12.10104115,C,4
9.026680566,C,4
10.92274478,C,4
11.31951903,C,4
10.93403713,C,4
14.10722196,C,4
9.255234304,C,4
13.32089373,C,4
12.1691965,C,4
11.79820898,C,4
13.69660465,C,4
12.72874945,C,4
4.139732196,C,5
10.02135433,C,5
4.923879071,C,5
7.899436212,C,5
1.535616396,C,5
8.004993351,C,5
5.00143546,C,5
9.335934129,C,5
8.804409122,C,5
3.83131328,C,5
4.281565503,C,5
8.596498364,C,5
5.874568157,C,5
11.38101908,C,5
7.698293394,C,5
12.10719029,C,5
9.735597768,C,5
11.3495347,C,5
10.28947656,C,5
10.75096865,C,5
9.571065992,C,5
6.519187011,C,5
4.860269359,C,5
12.55381498,C,5
10.06257847,C,5
6.169746683,C,5
10.27549739,C,5
9.991028941,C,5
6.114983817,C,5
8.061825709,C,5
9.91838865,C,5
4.887100904,C,5
12.02237737,C,5
8.118898586,C,5
6.260217816,C,5
8.37182707,C,5
4.221368529,C,5
10.85762154,C,5
11.97817834,C,5
6.645442758,C,5
6.886722697,C,5
3.743126032,C,5
9.955338522,C,5
7.860376481,C,5
8.619112851,C,5
8.606161721,C,5
7.510893366,C,5
6.926530512,C,5
10.85965553,C,5
9.180205679,C,5
6.754799464,C,5
11.6806295,C,5
5.930329445,C,5
14.83905037,C,5
7.468036578,C,5
6.414425366,C,5
4.917719134,C,5
2.859961032,C,5
6.581496224,C,5
8.279917766,C,5
5.923328523,C,5
7.376317684,C,5
6.210075728,C,5
0.984313863,C,5
2.324226554,C,5
7.355368025,C,5
7.808947934,C,5
8.530341055,C,5
7.288203668,C,5
6.779364186,C,5
12.94722012,C,5
8.093345374,C,5
9.402548397,C,5
7.671581911,C,5
7.267388404,C,5
5.740460288,C,5
11.66807629,C,5
7.099541291,C,5
9.757290298,C,5
6.605539198,C,5
9.830944534,C,5
10.69467172,C,5
9.911213469,C,5
9.151903354,C,5
12.10664567,C,5
8.204101049,C,5
4.942022711,C,5
8.544860313,C,5
3.504532265,C,5
10.45349848,C,5
8.41647692,C,5
8.664079838,C,5
12.51709771,C,5
7.960397568,C,5
5.636753232,C,5
8.445130705,C,5
7.732665429,C,5
10.5639103,C,5
9.495036718,C,5
8.778691103,C,5
5.492748727,C,5
10.1868371,C,5
5.478451135,C,5
10.48321431,C,5
10.66486589,C,5
8.45872197,C,5
9.115423906,C,5
8.857129152,C,5
6.219583207,C,5
10.0283925,C,5
11.59561212,C,5
8.291881502,C,5
9.577130945,C,5
6.698449776,C,5
9.620399592,C,5
9.518107482,C,5
7.576864997,C,5
6.738148154,C,5
9.809814629,C,5
6.430773604,C,5
9.8556882,C,5
12.35059969,C,5
12.55867409,C,5
9.081711325,C,5
7.647304433,C,5
8.788636457,C,5
6.929270559,C,5
7.386982496,C,5
9.086036254,C,5
8.401784184,C,5
7.613214748,C,5
5.753639562,C,5
6.094191892,C,5
11.5423758,C,5
9.127748225,C,5
9.857498197,C,5
8.311647689,C,5
7.167091496,C,5
10.10055909,C,5
6.140360421,C,5
8.081273437,C,5
8.185193872,C,5
8.448815665,C,5
12.81525671,C,5
5.756496039,C,5
7.435925279,C,5
12.51165488,C,5
7.285542002,C,5
7.193059276,C,5
4.768488914,C,5
7.442193693,C,5
6.845389339,C,5
7.393830519,C,5
10.11703994,C,5
6.558198187,C,5
14.17173416,C,5
7.17136723,C,5
10.89925513,C,5
5.095298171,C,5
5.083156579,C,5
5.98234028,C,5
11.91894859,C,5
4.168884121,C,5
7.403573204,C,5
6.987834481,C,5
5.89045806,C,5
4.233037733,C,5
7.253237661,C,5
8.488258004,C,5
8.594649356,C,5
10.16216647,C,5
11.74738738,C,5
7.058220525,C,5
8.127978924,C,5
9.043991351,C,5
2.939469998,C,5
4.66928915,C,5
7.61254161,C,5
8.423222276,C,5
9.371075455,C,5
2.199973374,C,5
8.943120745,C,5
14.31258563,C,5
9.016671658,C,5
7.835683752,C,5
7.092112427,C,5
10.10636976,C,5
6.285636213,C,5
10.88215357,C,5
9.197789322,C,5
3.165907163,C,5
4.219475507,C,5
5.53856469,C,5
6.385496438,C,5
6.483856783,C,5
4.720938071,C,5
8.478452636,C,5
4.999316495,C,5
11.61183541,C,5
7.690900395,C,5
9.574451742,C,5
9.174939614,C,5
9.037792689,C,5
12.22069413,C,5
5.008088794,C,5
9.981768118,C,5
4.111821567,C,5
4.705088872,C,5
7.183883853,C,5
5.161640501,C,5
7.76326123,C,5
9.186286464,C,5
7.063225136,C,5
10.43859026,C,5
10.92755088,C,5
6.00777182,C,5
5.939288162,C,6
6.731504378,C,6
7.72540589,C,6
6.267581129,C,6
6.896105575,C,6
9.744960358,C,6
8.477906216,C,6
9.524713823,C,6
7.493874395,C,6
6.667862792,C,6
10.43186604,C,6
8.470226534,C,6
8.689875374,C,6
5.88584485,C,6
8.266709643,C,6
6.541618986,C,6
9.489189522,C,6
5.676775052,C,6
6.033873406,C,6
5.104878839,C,6
7.280130237,C,6
6.426674571,C,6
8.391667189,C,6
10.34208088,C,6
8.981094886,C,6
6.704303761,C,6
8.740017706,C,6
8.167274111,C,6
7.939757735,C,6
11.53356231,C,6
6.436531224,C,6
10.26768316,C,6
8.14468434,C,6
9.065379725,C,6
7.750991394,C,6
7.879573112,C,6
8.057562983,C,6
5.92023536,C,6
5.366351891,C,6
7.800011488,C,6
11.8410046,C,6
9.056950549,C,6
9.759397576,C,6
7.379699562,C,6
8.0783854,C,6
6.635421305,C,6
9.857745382,C,6
5.453982477,C,6
7.553514329,C,6
10.30721498,C,6
8.514559731,C,6
5.857829981,C,6
9.523597782,C,6
9.064464532,C,6
7.058506536,C,6
5.328147312,C,6
5.099528037,C,6
6.843407755,C,6
7.399145583,C,6
8.851083654,C,6
10.6258948,C,6
7.253439181,C,6
9.129952905,C,6
8.876007048,C,6
8.514834091,C,6
8.201100772,C,6
